S.no,Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Subscribers (M),Views avg. (M),Likes avg. (M),Comments avg. (K),Shares avg. (K)
288,paulo_victormelo2,Paulo Victor Melo,2.2M,4.7M,447.9K,815,1.2K,2.2,4.7,0.44789999999999996,815.0,1200.0
289,phatnail,Lê Đại Phát 🥑,1.4M,3.3M,333.9K,3.2K,583,1.4,3.3,0.3339,3200.0,583.0
290,straykids_japan,straykids_japan,8.1M,1M,344.9K,7.6K,3.9K,8.1,1.0,0.3449,7600.0,3900.0
291,fwm.kalebb,Kaleb,1.6M,2M,306.4K,4.5K,2.3K,1.6,2.0,0.30639999999999995,4500.0,2300.0
292,cookiepuentee,Cookie Puente🍪,686.1K,1.4M,336.8K,1.8K,6.6K,0.6861,1.4,0.3368,1800.0,6600.0
293,andy.and.michelle,Andy & Michelle,5M,2.6M,336.3K,1.4K,3.4K,5.0,2.6,0.3363,1400.0,3400.0
294,elpelaromerook,Gonzalo Romero,1.5M,1.4M,161.5K,696,17.2K,1.5,1.4,0.1615,696.0,17200.0
295,leaelui,Lea Elui,17.3M,3.9M,596.4K,654,1.1K,17.3,3.9,0.5963999999999999,654.0,1100.0
296,zeinabharake,Zeinab Harake,14.4M,3.5M,492.1K,1.7K,673,14.4,3.5,0.49210000000000004,1700.0,673.0
297,augustogimenez,AugustoGimenez,13.5M,4.1M,608.8K,1K,605,13.5,4.1,0.6088,1000.0,605.0
298,thefashioncouple,BUCKS&JANINA,3.6M,3.1M,189K,6.6K,303,3.6,3.1,0.189,6600.0,303.0
299,ria_d3miri,ria_d3miri,3.1M,2.3M,270.9K,4.9K,1.5K,3.1,2.3,0.2709,4900.0,1500.0
